Nume clasa statistica:,serii zilnice
Observatii despre clasa statistica:,
Nota despre clasa statistica:, serii disponibile pentru perioada ianuarie 1998 - iunie 2005
Metodologie:,

Data;şiling austriac (ROL) CURSROLZ_ATS;dolar australian (ROL) CURSROLZ_AUD;franc belgian (ROL) CURSROLZ_BEF;dolar canadian (ROL) CURSROLZ_CAD;franc elveţian (ROL) CURSROLZ_CHF;coroană cehă (ROL) CURSROLZ_CZK;marcă germană (ROL) CURSROLZ_DEM;coroană daneză (ROL) CURSROLZ_DKK;liră egipteană (ROL) CURSROLZ_EGP;peseta spaniolă (ROL) CURSROLZ_ESP;EURO (ROL) CURSROLZ_EUR;marcă finlandeză (ROL) CURSROLZ_FIM;franc francez (ROL) CURSROLZ_FRF;liră sterlină (ROL) CURSROLZ_GBP;drahmă grecescă (ROL) CURSROLZ_GRD;forint unguresc (ROL) CURSROLZ_HUF;liră irlandeză (ROL) CURSROLZ_IEP;liră italiană (ROL) CURSROLZ_ITL;yen japonez (ROL) CURSROLZ_JPY;leu moldovenesc (ROL) CURSROLZ_MDL;gulden olandez (ROL) CURSROLZ_NLG;coroană norvrgiană (ROL) CURSROLZ_NOK;zlot polonez (ROL) CURSROLZ_PLN;escudos portughez (ROL) CURSROLZ_PTE;coroană suedeză (ROL) CURSROLZ_SEK;liră turcescă (ROL) CURSROLZ_TRL;noua liră turcească (ROL) CURSROLZ_TRY;dolar SUA (ROL) CURSROLZ_USD;gram aur (ROL) CURSROLZ_XAU;DST (ROL) CURSROLZ_XDR;ECU (ROL) CURSROLZ_XEU
29.06.2005;-;22797;-;24236;23315;1201;-;4839;5162;-;36050;-;-;54247;-;146;-;-;270,95;2366;-;4556;8888;-;3823;-;22163;29891;418032;43613;-
28.06.2005;-;22913;-;24194;23339;1202;-;4839;5147;-;36050;-;-;54243;-;145;-;-;271,23;2353;-;4531;8868;-;3838;-;22052;29809;419072;43510;-
27.06.2005;-;22798;-;24020;23412;1205;-;4846;5119;-;36095;-;-;54286;-;146;-;-;271,52;2374;-;4551;8946;-;3841;-;21960;29687;419359;43710;-
24.06.2005;-;23172;-;24273;23471;1208;-;4852;5167;-;36138;-;-;54540;-;146;-;-;274,14;2377;-;4534;8952;-;3839;-;22088;29939;426739;43846;-
23.06.2005;-;23081;-;24179;23433;1212;-;4846;5148;-;36091;-;-;54342;-;146;-;-;274,52;2367;-;4558;8989;-;3853;-;21991;29849;419455;43674;-
22.06.2005;-;23124;-;24123;23468;1211;-;4854;5139;-;36149;-;-;54164;-;146;-;-;273,85;2377;-;4600;8935;-;3902;-;22005;29787;418666;43729;-
21.06.2005;-;23144;-;24135;23441;1208;-;4856;5165;-;36163;-;-;54393;-;146;-;-;273,64;2385;-;4608;8937;-;3905;-;21898;29935;417531;43546;-
20.06.2005;-;23033;-;24003;23408;1204;-;4856;5102;-;36155;-;-;54027;-;146;-;-;271,73;2385;-;4596;8847;-;3915;-;21780;29566;418847;43583;-
17.06.2005;-;23043;-;24072;23417;1209;-;4856;5142;-;36150;-;-;54345;-;146;-;-;273,43;2385;-;4591;8920;-;3903;-;21880;29811;417875;43716;-
16.06.2005;-;22958;-;24119;23501;1208;-;4860;5153;-;36172;-;-;54369;-;146;-;-;273,31;2386;-;4598;8935;-;3902;-;21842;29856;414531;43753;-
15.06.2005;-;22925;-;23992;23495;1208;-;4856;5170;-;36143;-;-;54236;-;145;-;-;274,11;2369;-;4588;8959;-;3906;-;21738;30000;411433;43681;-
14.06.2005;-;22836;-;23730;23474;1205;-;4857;5140;-;36145;-;-;53936;-;145;-;-;272,69;2384;-;4593;8941;-;3894;-;21706;29793;408862;43735;-
13.06.2005;-;22833;-;23873;23507;1206;-;4860;5176;-;36160;-;-;54107;-;145;-;-;274,69;2335;-;4617;8975;-;3910;-;21727;30012;410852;43559;-
10.06.2005;-;22674;-;23524;23569;1205;-;4854;5095;-;36138;-;-;53945;-;145;-;-;275,00;2334;-;4609;8973;-;3917;-;21731;29551;401748;43513;-
09.06.2005;-;22660;-;23534;23557;1205;-;4852;5095;-;36123;-;-;53879;-;144;-;-;275,04;2333;-;4561;8935;-;3931;-;21684;29533;402144;43358;-
08.06.2005;-;22550;-;23527;23580;1200;-;4858;5062;-;36160;-;-;53882;-;144;-;-;274,43;2335;-;4570;8880;-;3954;-;21443;29328;401117;43502;-
07.06.2005;-;22592;-;23643;23648;1203;-;4863;5072;-;36193;-;-;53855;-;145;-;-;275,99;2343;-;4599;8912;-;3964;-;21641;29411;403417;43483;-
06.06.2005;-;22468;-;23639;23620;1200;-;4862;5086;-;36174;-;-;53667;-;145;-;-;275,32;2338;-;4591;8836;-;3962;-;21606;29470;402485;43379;-
03.06.2005;-;22254;-;23587;23548;1196;-;4857;5077;-;36135;-;-;53474;-;144;-;-;272,74;2338;-;4563;8763;-;3958;-;21554;29421;400440;43375;-
02.06.2005;-;22126;-;23570;23569;1191;-;4860;5075;-;36158;-;-;53480;-;143;-;-;271,82;2344;-;4569;8741;-;3954;-;21774;29433;394852;43459;-
01.06.2005;-;22105;-;23473;23623;1190;-;4861;5095;-;36172;-;-;53509;-;142;-;-;271,65;2329;-;4562;8713;-;3959;-;21577;29510;394702;43266;-
31.05.2005;-;22165;-;23258;23498;1191;-;4866;5047;-;36217;-;-;53241;-;143;-;-;271,08;2293;-;4559;8802;-;3958;-;21582;29278;391957;42856;-
30.05.2005;-;22044;-;23013;23417;1187;-;4863;4985;-;36197;-;-;52738;-;142;-;-;268,08;2292;-;4545;8724;-;3944;-;21080;28916;388538;42832;-
27.05.2005;-;21954;-;22801;23379;1184;-;4859;4973;-;36172;-;-;52591;-;143;-;-;267,62;2288;-;4526;8662;-;3932;-;20937;28856;388270;42907;-
26.05.2005;-;21938;-;22736;23364;1186;-;4857;4964;-;36156;-;-;52610;-;143;-;-;266,61;2277;-;4509;8685;-;3932;-;20812;28785;387435;42780;-
25.05.2005;-;21858;-;22845;23415;1186;-;4860;4964;-;36186;-;-;52558;-;142;-;-;267,33;2279;-;4486;8650;-;3944;-;20743;28780;387123;42733;-
24.05.2005;-;21876;-;22817;23396;1195;-;4858;4961;-;36187;-;-;52682;-;143;-;-;267,53;2274;-;4466;8658;-;3941;-;20786;28777;386995;42858;-
23.05.2005;-;21825;-;22843;23391;1192;-;4857;4975;-;36183;-;-;52706;-;143;-;-;267,17;2274;-;4459;8627;-;3941;-;20714;28818;387151;42790;-
20.05.2005;-;21751;-;22773;23394;1196;-;4856;4936;-;36164;-;-;52606;-;144;-;-;266,12;2277;-;4448;8681;-;3934;-;21008;28621;387137;42698;-
19.05.2005;-;21701;-;22702;23432;1198;-;4855;4927;-;36147;-;-;52600;-;144;-;-;266,54;2276;-;4454;8675;-;3934;-;20915;28585;387307;42678;-
18.05.2005;-;21648;-;22655;23447;1194;-;4857;4944;-;36157;-;-;52527;-;143;-;-;266,65;2278;-;4462;8594;-;3922;-;20793;28661;386477;42691;-
17.05.2005;-;21654;-;22513;23408;1198;-;4855;4928;-;36136;-;-;52611;-;143;-;-;266,69;2277;-;4466;8572;-;3916;-;20680;28569;386056;42664;-
16.05.2005;-;21685;-;22571;23385;1199;-;4855;4936;-;36130;-;-;52714;-;144;-;-;265,89;2245;-;4461;8590;-;3924;-;20701;28628;386189;42705;-
13.05.2005;-;21855;-;22840;23411;1204;-;4863;4937;-;36187;-;-;53146;-;144;-;-;267,38;2249;-;4466;8658;-;3931;-;20853;28631;387521;42581;-
12.05.2005;-;21854;-;22697;23413;1208;-;4860;4881;-;36171;-;-;52882;-;145;-;-;266,81;2217;-;4470;8729;-;3925;-;20856;28322;388020;42415;-
11.05.2005;-;21900;-;22646;23497;1206;-;4874;4859;-;36278;-;-;53085;-;144;-;-;267,27;2223;-;4486;8670;-;3934;-;20515;28148;387446;42578;-
10.05.2005;-;21786;-;22757;23377;1204;-;4857;4856;-;36150;-;-;52893;-;144;-;-;266,08;2215;-;4462;8696;-;3924;-;20631;28142;386059;42508;-
09.05.2005;-;21783;-;22709;23321;1209;-;4853;4852;-;36109;-;-;53008;-;145;-;-;267,04;2213;-;4441;8764;-;3933;-;20752;28120;385107;42292;-
06.05.2005;-;21768;-;22453;23391;1209;-;4862;4819;-;36191;-;-;53031;-;145;-;-;266,89;2218;-;4463;8704;-;3949;-;20687;27946;386089;42399;-
05.05.2005;-;21881;-;22504;23489;1209;-;4876;4823;-;36301;-;-;53290;-;146;-;-;268,22;2226;-;4468;8701;-;3959;-;20810;27983;387385;42521;-
04.05.2005;-;21749;-;22384;23470;1197;-;4863;4817;-;36197;-;-;53137;-;145;-;-;267,22;2210;-;4459;8571;-;3941;-;20744;27957;385703;42526;-
03.05.2005;-;21847;-;22421;23471;1194;-;4864;4856;-;36206;-;-;53323;-;144;-;-;267,64;2210;-;4447;8530;-;3924;-;20509;28142;388197;42534;-
29.04.2005;-;21882;-;22369;23562;1185;-;4863;4814;-;36211;-;-;53456;-;143;-;-;265,70;2210;-;4444;8435;-;3948;-;20076;27931;389147;42469;-
28.04.2005;-;21780;-;22383;23504;1195;-;4862;4828;-;36207;-;-;53340;-;144;-;-;264,64;2210;-;4441;8523;-;3959;-;20388;28019;389844;42375;-
27.04.2005;-;21705;-;22391;23393;1192;-;4848;4817;-;36103;-;-;53104;-;144;-;-;263,04;2204;-;4441;8523;-;3949;-;20399;27943;390057;42156;-
26.04.2005;-;21782;-;22503;23474;1198;-;4863;4821;-;36227;-;-;53220;-;145;-;-;263,52;2211;-;4450;8617;-;3961;-;20474;27916;390186;42361;-
25.04.2005;-;21750;-;22549;23453;1193;-;4860;4810;-;36201;-;-;53323;-;145;-;-;263,84;2210;-;4437;8596;-;3953;-;20444;27900;388411;42066;-
22.04.2005;-;21470;-;22273;23327;1191;-;4835;4753;-;36021;-;-;52685;-;145;-;-;259,17;2199;-;4412;8606;-;3930;-;20327;27563;384054;41888;-
21.04.2005;-;21423;-;22326;23469;1200;-;4861;4767;-;36211;-;-;52905;-;146;-;-;258,12;2210;-;4440;8694;-;3939;-;20319;27650;385460;42110;-
20.04.2005;-;21622;-;22565;23626;1205;-;4897;4832;-;36495;-;-;53567;-;147;-;-;261,69;2228;-;4453;8746;-;3972;-;20509;27986;389282;42507;-
19.04.2005;-;21460;-;22400;23507;1198;-;4872;4818;-;36312;-;-;53345;-;145;-;-;260,40;2217;-;4425;8652;-;3949;-;20303;27953;383257;42358;-
18.04.2005;-;21413;-;22396;23383;1200;-;4853;4808;-;36173;-;-;52931;-;146;-;-;259,34;2236;-;4403;8685;-;3942;-;20226;27870;381434;42248;-
15.04.2005;-;21649;-;22653;23290;1204;-;4853;4861;-;36165;-;-;53032;-;146;-;-;260,37;2235;-;4392;8760;-;3940;-;20435;28200;383728;42413;-
14.04.2005;-;21787;-;22691;23270;1207;-;4852;4858;-;36156;-;-;53057;-;147;-;-;260,84;2233;-;4390;8800;-;3945;-;20713;28158;385705;42249;-
13.04.2005;-;21725;-;22593;23327;1208;-;4848;4812;-;36113;-;-;52820;-;147;-;-;260,00;2230;-;4411;8853;-;3944;-;20774;27903;384642;42025;-
12.04.2005;-;21653;-;22663;23410;1213;-;4866;4818;-;36251;-;-;52871;-;147;-;-;259,11;2239;-;4433;8869;-;3962;-;20808;27936;385133;42184;-
11.04.2005;-;21695;-;22849;23465;1215;-;4877;4825;-;36328;-;-;52929;-;148;-;-;259,59;2244;-;4445;8863;-;3961;-;20774;28012;385720;42538;-
08.04.2005;-;21787;-;23198;23532;1218;-;4894;4895;-;36460;-;-;53110;-;148;-;-;261,50;2243;-;4464;8873;-;3982;-;21073;28399;388576;42473;-
07.04.2005;-;21709;-;23147;23525;1216;-;4896;4870;-;36465;-;-;53048;-;148;-;-;260,73;2243;-;4467;8861;-;3988;-;20988;28244;387220;42668;-
06.04.2005;-;21720;-;23242;23529;1218;-;4897;4878;-;36485;-;-;53259;-;148;-;-;261,30;2245;-;4473;8886;-;3983;-;20962;28303;387765;42728;-
05.04.2005;-;21749;-;23283;23500;1217;-;4902;4910;-;36522;-;-;53418;-;148;-;-;262,25;2247;-;4474;8852;-;3983;-;20797;28473;388136;42647;-
04.04.2005;-;21724;-;23222;23448;1215;-;4890;4871;-;36427;-;-;53035;-;147;-;-;261,60;2243;-;4442;8854;-;3973;-;20622;28257;387008;42462;-
01.04.2005;-;21795;-;23244;23602;1220;-;4915;4869;-;36617;-;-;53288;-;148;-;-;263,33;2239;-;4470;8969;-;3995;-;20893;28239;388108;42673;-
31.03.2005;-;21983;-;23444;23771;1231;-;4943;4905;-;36825;-;-;53490;-;149;-;-;266,03;2255;-;4487;9007;-;4027;-;20995;28429;390810;42925;-
30.03.2005;-;21857;-;23376;23652;1222;-;4929;4884;-;36712;-;-;53337;-;149;-;-;263,53;2251;-;4487;8923;-;4017;-;20575;28339;388280;42831;-
29.03.2005;-;21822;-;23249;23482;1206;-;4894;4861;-;36455;-;-;52791;-;147;-;-;263,00;2231;-;4432;8738;-;3991;-;20187;28169;386834;42433;-
28.03.2005;-;21712;-;23117;23421;1211;-;4887;4862;-;36405;-;-;52510;-;147;-;-;263,53;2228;-;4441;8823;-;3992;-;20665;28174;383146;42374;-
25.03.2005;-;21798;-;23220;23499;1213;-;4900;4854;-;36502;-;-;52691;-;148;-;-;264,76;2230;-;4450;8862;-;4005;-;20846;28176;384166;42487;-
24.03.2005;-;21791;-;23178;23588;1214;-;4918;4866;-;36630;-;-;52743;-;148;-;-;264,96;2204;-;4469;8853;-;4023;-;20734;28224;385514;42565;-
23.03.2005;-;21576;-;22901;23267;1203;-;4860;4779;-;36201;-;-;52178;-;146;-;-;262,92;2178;-;4421;8780;-;3971;-;20359;27748;381196;41924;-
22.03.2005;-;21803;-;22970;23508;1216;-;4900;4777;-;36494;-;-;52581;-;148;-;-;263,91;2195;-;4466;8911;-;3996;-;20699;27695;383459;42172;-
21.03.2005;-;21689;-;22712;23432;1217;-;4883;4743;-;36371;-;-;52381;-;148;-;-;261,52;2157;-;4468;8892;-;3980;-;20618;27521;385732;41983;-
18.03.2005;-;21683;-;22745;23562;1225;-;4902;4728;-;36505;-;-;52567;-;149;-;-;261,28;2165;-;4486;8978;-;4009;-;20818;27413;384716;41967;-
17.03.2005;-;21555;-;22592;23560;1217;-;4892;4694;-;36430;-;-;52436;-;147;-;-;260,91;2161;-;4471;8877;-;4003;-;20629;27242;387629;41893;-
16.03.2005;-;21477;-;22588;23480;1210;-;4877;4686;-;36320;-;-;52308;-;147;-;-;261,18;2151;-;4443;8898;-;3994;-;20442;27199;385712;41715;-
15.03.2005;-;21254;-;22298;23218;1214;-;4833;4632;-;35992;-;-;51601;-;147;-;-;257,20;2131;-;4402;8988;-;3959;-;20785;26895;382635;41377;-
14.03.2005;-;21203;-;22266;23243;1220;-;4840;4635;-;36043;-;-;51589;-;147;-;-;256,44;2133;-;4418;9044;-;3973;-;20978;26885;382711;41345;-
11.03.2005;-;21134;-;22205;23173;1217;-;4822;4613;-;35907;-;-;51387;-;148;-;-;256,97;2124;-;4394;9066;-;3964;-;21161;26771;379518;41241;-
10.03.2005;-;21284;-;22381;23325;1226;-;4849;4644;-;36110;-;-;51905;-;148;-;-;258,40;2141;-;4411;9125;-;3986;-;21018;26930;381213;41641;-
09.03.2005;-;21481;-;22312;23209;1227;-;4836;4642;-;36008;-;-;51892;-;149;-;-;259,17;2179;-;4404;9239;-;3981;-;21503;26940;380930;41619;-
08.03.2005;-;21507;-;22075;23156;1216;-;4822;4666;-;35897;-;-;52059;-;149;-;-;258,23;2169;-;4380;9213;-;3972;-;21400;27096;379253;41565;-
07.03.2005;-;21650;-;22226;23365;1225;-;4861;4724;-;36180;-;-;52439;-;150;-;-;260,76;2186;-;4400;9323;-;4000;-;21709;27389;381866;42000;-
04.03.2005;-;21799;-;22352;23567;1232;-;4905;4789;-;36510;-;-;53059;-;150;-;-;264,12;2206;-;4440;9327;-;4036;-;21819;27818;384341;42354;-
03.03.2005;-;21742;-;22351;23617;1232;-;4904;4781;-;36503;-;-;53026;-;151;-;-;264,63;2212;-;4441;9313;-;4030;-;21754;27749;386309;42456;-
02.03.2005;-;21706;-;22430;23730;1232;-;4910;4806;-;36538;-;-;53231;-;151;-;-;265,58;2200;-;4449;9308;-;4029;-;21708;27878;384394;42301;-
01.03.2005;-;21629;-;22218;23582;1221;-;4868;4728;-;36231;-;-;52696;-;150;-;-;263,12;2178;-;4406;9320;-;4001;-;21368;27439;383418;41869;-
28.02.2005;-;21751;-;22306;23659;1225;-;4894;4728;-;36422;-;-;52858;-;150;-;-;263,19;2190;-;4431;9313;-;4026;-;21310;27473;385402;42178;-
25.02.2005;-;21521;-;22146;23504;1213;-;4867;4746;-;36218;-;-;52501;-;149;-;-;261,28;2178;-;4384;9243;-;3990;-;21223;27527;381729;41806;-
24.02.2005;-;21580;-;22003;23620;1217;-;4888;4721;-;36376;-;-;52328;-;150;-;-;261,60;2201;-;4413;9244;-;4009;-;21180;27453;383588;42101;-
23.02.2005;-;21988;-;22651;23898;1227;-;4941;4794;-;36768;-;-;53114;-;152;-;-;265,46;2224;-;4453;9292;-;4039;-;21339;27830;387730;42626;-
22.02.2005;-;21871;-;22450;23610;1218;-;4884;4761;-;36354;-;-;52622;-;150;-;-;264,70;2231;-;4395;9160;-;3996;-;21184;27500;381787;42298;-
21.02.2005;-;21655;-;22294;23198;1196;-;4815;4724;-;35844;-;-;52035;-;147;-;-;260,08;2200;-;4322;8989;-;3933;-;20972;27447;376871;41704;-
18.02.2005;-;21763;-;22490;23349;1206;-;4854;4769;-;36133;-;-;52431;-;149;-;-;262,76;2212;-;4360;9069;-;3977;-;21203;27700;379595;42081;-
17.02.2005;-;22902;-;23601;24553;1266;-;5109;5004;-;38026;-;-;55030;-;156;-;-;276,45;2345;-;4545;9506;-;4178;-;22167;29111;399253;44236;-
16.02.2005;-;22742;-;23566;24466;1257;-;5084;5004;-;37840;-;-;54853;-;155;-;-;276,46;2333;-;4526;9509;-;4170;-;22171;29064;396506;44056;-
15.02.2005;-;22189;-;22923;23675;1218;-;4935;4871;-;36738;-;-;53410;-;150;-;-;269,85;2267;-;4381;9216;-;4048;-;21569;28301;386466;42931;-
14.02.2005;-;21514;-;22236;22847;1180;-;4771;4713;-;35515;-;-;51606;-;145;-;-;261,02;2210;-;4220;8841;-;3900;-;20802;27385;371960;41640;-
11.02.2005;-;21900;-;22538;23166;1198;-;4840;4818;-;36023;-;-;52253;-;147;-;-;264,89;2255;-;4277;8934;-;3961;-;21174;28008;375418;42367;-
10.02.2005;-;22119;-;22816;23419;1215;-;4900;4902;-;36461;-;-;53023;-;149;-;-;269,17;2270;-;4323;9118;-;4016;-;21305;28499;378898;42968;-
09.02.2005;-;22167;-;23105;23642;1228;-;4950;4957;-;36839;-;-;53674;-;151;-;-;273,16;2294;-;4408;9180;-;4061;-;21697;28820;382728;43330;-
08.02.2005;-;22177;-;23089;23707;1235;-;4969;4985;-;36975;-;-;53805;-;152;-;-;274,41;2302;-;4417;9302;-;4068;-;21759;29016;383881;43481;-
07.02.2005;-;22370;-;23124;23923;1246;-;5009;4972;-;37283;-;-;54234;-;153;-;-;277,48;2303;-;4488;9382;-;4109;-;22042;28997;386744;43631;-
04.02.2005;-;22218;-;23213;23981;1248;-;5023;4960;-;37387;-;-;54318;-;153;-;-;277,30;2298;-;4507;9376;-;4115;-;21852;28828;385969;43695;-
03.02.2005;-;22162;-;23065;23916;1240;-;4999;4907;-;37212;-;-;53981;-;152;-;-;274,76;2286;-;4502;9322;-;4104;-;21589;28553;385424;43381;-
02.02.2005;-;22127;-;23194;24071;1243;-;5020;4909;-;37360;-;-;53872;-;152;-;-;276,00;2295;-;4519;9212;-;4114;-;21508;28581;387584;43586;-
01.02.2005;-;22197;-;23188;24168;1248;-;5042;4930;-;37519;-;-;54132;-;153;-;-;277,05;2305;-;4529;9258;-;4126;-;21632;28793;389823;43765;-
31.01.2005;-;22313;-;23207;24225;1242;-;5041;4949;-;37516;-;-;54308;-;153;-;-;278,45;2306;-;4546;9254;-;4123;-;21592;28855;393665;43771;-
28.01.2005;-;22400;-;23320;24389;1246;-;5069;4952;-;37723;-;-;54537;-;154;-;-;279,77;2319;-;4574;9282;-;4151;-;21673;28902;396372;44068;-
27.01.2005;-;22437;-;23439;24454;1255;-;5080;4959;-;37810;-;-;54513;-;154;-;-;280,02;2328;-;4579;9302;-;4167;-;21529;28979;397345;44175;-
26.01.2005;-;22316;-;23457;24298;1253;-;5059;4952;-;37654;-;-;54311;-;153;-;-;279,78;2312;-;4574;9252;-;4149;-;21680;28943;394107;43954;-
25.01.2005;-;22280;-;23658;24466;1256;-;5077;4937;-;37786;-;-;54349;-;154;-;-;280,10;2343;-;4607;9295;-;4168;-;21686;28958;396210;44053;-
24.01.2005;-;22632;-;24158;24891;1271;-;5166;5011;-;38444;-;-;55279;-;156;-;-;285,73;2384;-;4690;9441;-;4243;-;21908;29364;403877;44946;-
21.01.2005;-;22707;-;24224;24940;1270;-;5185;5055;-;38584;-;-;55310;-;156;-;-;286,48;2393;-;4708;9446;-;4267;-;22017;29686;403833;44973;-
20.01.2005;-;22269;-;23829;24636;1251;-;5107;4995;-;37998;-;-;54748;-;154;-;-;284,99;2328;-;4650;9230;-;4209;-;21738;29323;397818;44290;-
19.01.2005;-;21793;-;23460;24246;1235;-;5027;4868;-;37405;-;-;53727;-;152;-;-;278,77;2298;-;4589;9158;-;4146;-;21246;28587;389835;43588;-
18.01.2005;-;21595;-;23406;24213;1230;-;5023;4875;-;37376;-;-;53532;-;152;-;-;278,18;2290;-;4582;9160;-;4131;-;21314;28645;389389;43508;-
17.01.2005;-;21815;-;23714;24395;1239;-;5064;4887;-;37679;-;-;53754;-;153;-;-;282,04;2309;-;4598;9276;-;4164;-;21480;28759;390935;43861;-
14.01.2005;-;22095;-;24029;24610;1255;-;5127;4919;-;38143;-;-;54416;-;154;-;-;283,24;2313;-;4670;9394;-;4218;-;21501;29077;394192;44125;-
13.01.2005;-;22087;-;24013;24669;1257;-;5131;4893;-;38179;-;-;54436;-;155;-;-;281,04;2333;-;4659;9362;-;4219;-;21230;28868;394081;44289;-
12.01.2005;-;21957;-;23784;24528;1252;-;5106;4893;-;37988;-;-;54335;-;153;-;-;280,46;2315;-;4628;9348;-;4198;-;20994;29006;393460;44073;-
11.01.2005;-;22241;-;23934;24800;1268;-;5153;4920;-;38341;-;-;54738;-;155;-;-;280,18;2348;-;4668;9435;-;4245;-;21076;29125;395650;44509;-
10.01.2005;-;22398;-;24046;25025;1279;-;5200;4960;-;38693;-;-;55434;-;156;-;-;282,78;2346;-;4698;9498;-;4281;-;21284;29504;399571;44729;-
07.01.2005;-;22411;-;23787;25094;1283;-;5219;4926;-;38830;-;-;55231;-;157;-;-;281,09;2354;-;4713;9479;-;4295;-;21370;29334;398992;44869;-
06.01.2005;-;22266;-;23848;24966;1271;-;5204;4920;-;38720;-;-;54961;-;156;-;-;279,47;2348;-;4696;9386;-;4290;-;20873;29369;401932;44512;-
05.01.2005;-;22253;-;23731;24888;1272;-;5201;4879;-;38674;-;-;54764;-;157;-;-;278,39;2319;-;4659;9347;-;4267;-;21059;29223;400140;44459;-
04.01.2005;-;22500;-;23925;25143;1280;-;5231;4860;-;38893;-;-;55054;-;158;-;-;280,41;2310;-;4723;9545;-;4303;-;21592;29065;398512;44422;-
03.01.2005;-;22593;-;24095;25463;1296;-;5286;4817;-;39310;-;-;55464;-;160;-;-;282,66;2313;-;4780;9640;-;4369;-;21553;29027;405868;44726;-
31.12.2004;-;22651;-;24129;25703;1304;-;5332;4775;-;39663;-;-;56108;-;161;-;-;283,61;2339;-;4814;9716;-;4398;0,022;-;29067;409513;45128;-
30.12.2004;-;22419;-;23890;25513;1291;-;5295;4767;-;39378;-;-;55583;-;160;-;-;278,65;2322;-;4786;9658;-;4375;0,021;-;28941;404785;44824;-
29.12.2004;-;22541;-;23741;25524;1293;-;5298;4702;-;39410;-;-;55770;-;160;-;-;279,79;2321;-;4761;9710;-;4395;0,021;-;28919;412524;44833;-
28.12.2004;-;22612;-;23813;25560;1292;-;5309;4691;-;39503;-;-;56160;-;161;-;-;281,09;2341;-;4774;9740;-;4388;0,021;-;28966;414813;45320;-
27.12.2004;-;22436;-;23699;25443;1290;-;5294;4704;-;39399;-;-;56032;-;160;-;-;280,60;2335;-;4755;9687;-;4366;0,021;-;29120;413721;45125;-
24.12.2004;-;22038;-;23268;25053;1270;-;5204;4602;-;38721;-;-;55135;-;157;-;-;276,14;2326;-;4675;9501;-;4287;0,021;-;28605;406602;44349;-
23.12.2004;-;21737;-;22987;24718;1249;-;5133;4561;-;38174;-;-;54460;-;155;-;-;273,04;2293;-;4608;9355;-;4225;0,021;-;28368;403753;43790;-
22.12.2004;-;21765;-;23147;24677;1244;-;5117;4555;-;38046;-;-;54605;-;155;-;-;272,73;2277;-;4596;9278;-;4225;0,020;-;28406;404205;43733;-
21.12.2004;-;22044;-;23535;25033;1264;-;5185;4624;-;38546;-;-;55698;-;157;-;-;276,10;2312;-;4672;9419;-;4300;0,021;-;28780;408883;44345;-
20.12.2004;-;22110;-;23598;25184;1270;-;5207;4646;-;38702;-;-;56343;-;158;-;-;277,58;2339;-;4708;9384;-;4317;0,021;-;28976;411582;44745;-
17.12.2004;-;22136;-;23672;25210;1264;-;5209;4680;-;38710;-;-;56416;-;157;-;-;279,50;2322;-;4715;9319;-;4304;0,020;-;29110;410891;44526;-
16.12.2004;-;22032;-;23534;25218;1261;-;5201;4642;-;38659;-;-;56199;-;157;-;-;277,21;2319;-;4723;9288;-;4304;0,021;-;28872;409433;44428;-
15.12.2004;-;22360;-;23884;25698;1284;-;5286;4705;-;39293;-;-;56901;-;160;-;-;281,57;2365;-;4771;9447;-;4376;0,021;-;29402;414379;45271;-
14.12.2004;-;22521;-;24121;25633;1287;-;5302;4763;-;39405;-;-;56985;-;160;-;-;282,07;2383;-;4806;9405;-;4410;0,021;-;29602;417508;45443;-
13.12.2004;-;22481;-;24238;25660;1287;-;5300;4756;-;39386;-;-;56842;-;159;-;-;282,83;2395;-;4803;9372;-;4394;0,021;-;29679;416582;45510;-
10.12.2004;-;21998;-;23964;25274;1255;-;5223;4741;-;38814;-;-;56155;-;156;-;-;278,08;2341;-;4709;9173;-;4296;0,020;-;29510;411134;44706;-
09.12.2004;-;21805;-;23624;25070;1249;-;5175;4622;-;38453;-;-;55424;-;155;-;-;277,09;2287;-;4675;9193;-;4278;0,020;-;28911;406369;44405;-
08.12.2004;-;21857;-;23604;24991;1243;-;5156;4604;-;38318;-;-;55570;-;156;-;-;277,03;2279;-;4674;9130;-;4273;0,020;-;28780;412362;44038;-
07.12.2004;-;22199;-;23814;25034;1235;-;5155;4565;-;38296;-;-;55457;-;156;-;-;277,43;2284;-;4701;9152;-;4304;0,020;-;28476;415558;44047;-
06.12.2004;-;22104;-;23791;25038;1233;-;5147;4552;-;38235;-;-;55229;-;156;-;-;277,84;2305;-;4691;9159;-;4295;0,020;-;28439;416540;44145;-
03.12.2004;-;21851;-;23714;24615;1212;-;5055;4531;-;37560;-;-;54403;-;153;-;-;273,55;2261;-;4580;8992;-;4180;0,020;-;28274;408545;43448;-
02.12.2004;-;22426;-;24275;25189;1238;-;5163;4610;-;38364;-;-;55636;-;157;-;-;280,63;2310;-;4697;9173;-;4275;0,020;-;28812;420916;44371;-
30.11.2004;-;22417;-;24374;25410;1242;-;5182;4645;-;38494;-;-;55169;-;156;-;-;281,87;2326;-;4751;9134;-;4319;0,020;-;29013;421552;44508;-
29.11.2004;-;23071;-;24794;25690;1257;-;5247;4720;-;38976;-;-;55466;-;158;-;-;285,56;2354;-;4831;9237;-;4370;0,021;-;29381;425640;45245;-
